2025-02-13 05:50:12 startup archives install
2025-02-13 05:50:12 install base-passwd:amd64 <none> 3.5.51
2025-02-13 05:50:12 status half-installed base-passwd:amd64 3.5.51
2025-02-13 05:50:12 status unpacked base-passwd:amd64 3.5.51
2025-02-13 05:50:12 configure base-passwd:amd64 3.5.51 3.5.51
2025-02-13 05:50:12 status half-configured base-passwd:amd64 3.5.51
2025-02-13 05:50:12 status installed base-passwd:amd64 3.5.51
2025-02-13 05:50:12 startup archives install
2025-02-13 05:50:12 install base-files:amd64 <none> 11.1+deb11u6
2025-02-13 05:50:12 status half-installed base-files:amd64 11.1+deb11u6
2025-02-13 05:50:12 status unpacked base-files:amd64 11.1+deb11u6
2025-02-13 05:50:12 configure base-files:amd64 11.1+deb11u6 11.1+deb11u6
2025-02-13 05:50:12 status half-configured base-files:amd64 11.1+deb11u6
2025-02-13 05:50:12 status installed base-files:amd64 11.1+deb11u6
2025-02-13 05:50:12 startup archives install
2025-02-13 05:50:12 upgrade dpkg 1.20.12 1.20.12
2025-02-13 05:50:12 status half-configured dpkg 1.20.12
2025-02-13 05:50:12 status unpacked dpkg 1.20.12
2025-02-13 05:50:12 status half-installed dpkg 1.20.12
2025-02-13 05:50:12 status unpacked dpkg:amd64 1.20.12
2025-02-13 05:50:12 configure dpkg:amd64 1.20.12 1.20.12
2025-02-13 05:50:12 status half-configured dpkg:amd64 1.20.12
2025-02-13 05:50:12 status installed dpkg:amd64 1.20.12
2025-02-13 05:50:12 startup archives install
2025-02-13 05:50:12 install libc6:amd64 <none> 2.31-13+deb11u5
2025-02-13 05:50:12 status half-installed libc6:amd64 2.31-13+deb11u5
2025-02-13 05:50:13 status unpacked libc6:amd64 2.31-13+deb11u5
2025-02-13 05:50:13 configure libc6:amd64 2.31-13+deb11u5 2.31-13+deb11u5
2025-02-13 05:50:13 status half-configured libc6:amd64 2.31-13+deb11u5
2025-02-13 05:50:13 status installed libc6:amd64 2.31-13+deb11u5
2025-02-13 05:50:13 startup archives install
2025-02-13 05:50:13 install perl-base:amd64 <none> 5.32.1-4+deb11u2
2025-02-13 05:50:13 status half-installed perl-base:amd64 5.32.1-4+deb11u2
2025-02-13 05:50:13 status unpacked perl-base:amd64 5.32.1-4+deb11u2
2025-02-13 05:50:13 configure perl-base:amd64 5.32.1-4+deb11u2 5.32.1-4+deb11u2
2025-02-13 05:50:13 status half-configured perl-base:amd64 5.32.1-4+deb11u2
2025-02-13 05:50:13 status installed perl-base:amd64 5.32.1-4+deb11u2
2025-02-13 05:50:13 startup archives install
2025-02-13 05:50:13 install mawk:amd64 <none> 1.3.4.20200120-2
2025-02-13 05:50:13 status half-installed mawk:amd64 1.3.4.20200120-2
2025-02-13 05:50:13 status unpacked mawk:amd64 1.3.4.20200120-2
2025-02-13 05:50:13 configure mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2025-02-13 05:50:13 status half-configured mawk:amd64 1.3.4.20200120-2
2025-02-13 05:50:13 status installed mawk:amd64 1.3.4.20200120-2
2025-02-13 05:50:13 startup archives install
2025-02-13 05:50:13 install debconf:all <none> 1.5.77
2025-02-13 05:50:13 status half-installed debconf:all 1.5.77
2025-02-13 05:50:13 status unpacked debconf:all 1.5.77
2025-02-13 05:50:13 configure debconf:all 1.5.77 1.5.77
2025-02-13 05:50:13 status half-configured debconf:all 1.5.77
2025-02-13 05:50:13 status installed debconf:all 1.5.77
2025-02-13 05:50:13 startup archives unpack
2025-02-13 05:50:13 install gcc-10-base:amd64 <none> 10.2.1-6
2025-02-13 05:50:13 status half-installed gcc-10-base:amd64 10.2.1-6
2025-02-13 05:50:13 status unpacked gcc-10-base:amd64 10.2.1-6
2025-02-13 05:50:13 install libgcc-s1:amd64 <none> 10.2.1-6
2025-02-13 05:50:13 status half-installed libgcc-s1:amd64 10.2.1-6
2025-02-13 05:50:13 status unpacked libgcc-s1:amd64 10.2.1-6
2025-02-13 05:50:13 install libcrypt1:amd64 <none> 1:4.4.18-4
2025-02-13 05:50:13 status half-installed libcrypt1:amd64 1:4.4.18-4
2025-02-13 05:50:13 status unpacked libcrypt1:amd64 1:4.4.18-4
2025-02-13 05:50:13 upgrade libc6:amd64 2.31-13+deb11u5 2.31-13+deb11u5
2025-02-13 05:50:13 status half-configured libc6:amd64 2.31-13+deb11u5
2025-02-13 05:50:13 status unpacked libc6:amd64 2.31-13+deb11u5
2025-02-13 05:50:13 status half-installed libc6:amd64 2.31-13+deb11u5
2025-02-13 05:50:14 status unpacked libc6:amd64 2.31-13+deb11u5
2025-02-13 05:50:14 install libidn2-0:amd64 <none> 2.3.0-5
2025-02-13 05:50:14 status half-installed libidn2-0:amd64 2.3.0-5
2025-02-13 05:50:14 status unpacked libidn2-0:amd64 2.3.0-5
2025-02-13 05:50:14 install libcom-err2:amd64 <none> 1.46.2-2
2025-02-13 05:50:14 status half-installed libcom-err2:amd64 1.46.2-2
2025-02-13 05:50:14 status unpacked libcom-err2:amd64 1.46.2-2
2025-02-13 05:50:14 install libkrb5support0:amd64 <none> 1.18.3-6+deb11u3
2025-02-13 05:50:14 status half-installed libkrb5support0:amd64 1.18.3-6+deb11u3
2025-02-13 05:50:14 status unpacked libkrb5support0:amd64 1.18.3-6+deb11u3
2025-02-13 05:50:14 install libk5crypto3:amd64 <none> 1.18.3-6+deb11u3
2025-02-13 05:50:14 status half-installed libk5crypto3:amd64 1.18.3-6+deb11u3
2025-02-13 05:50:14 status unpacked libk5crypto3:amd64 1.18.3-6+deb11u3
2025-02-13 05:50:14 install libkeyutils1:amd64 <none> 1.6.1-2
2025-02-13 05:50:14 status half-installed libkeyutils1:amd64 1.6.1-2
2025-02-13 05:50:14 status unpacked libkeyutils1:amd64 1.6.1-2
2025-02-13 05:50:14 install libbz2-1.0:amd64 <none> 1.0.8-4
2025-02-13 05:50:14 status half-installed libbz2-1.0:amd64 1.0.8-4
2025-02-13 05:50:14 status unpacked libbz2-1.0:amd64 1.0.8-4
2025-02-13 05:50:14 install liblzma5:amd64 <none> 5.2.5-2.1~deb11u1
2025-02-13 05:50:14 status half-installed liblzma5:amd64 5.2.5-2.1~deb11u1
2025-02-13 05:50:14 status unpacked liblzma5:amd64 5.2.5-2.1~deb11u1
2025-02-13 05:50:14 install libacl1:amd64 <none> 2.2.53-10
2025-02-13 05:50:14 status half-installed libacl1:amd64 2.2.53-10
2025-02-13 05:50:14 status unpacked libacl1:amd64 2.2.53-10
2025-02-13 05:50:14 upgrade dpkg:amd64 1.20.12 1.20.12
2025-02-13 05:50:14 status half-configured dpkg:amd64 1.20.12
2025-02-13 05:50:14 status unpacked dpkg:amd64 1.20.12
2025-02-13 05:50:14 status half-installed dpkg:amd64 1.20.12
2025-02-13 05:50:14 status unpacked dpkg:amd64 1.20.12
2025-02-13 05:50:14 upgrade debconf:all 1.5.77 1.5.77
2025-02-13 05:50:14 status half-configured debconf:all 1.5.77
2025-02-13 05:50:14 status unpacked debconf:all 1.5.77
2025-02-13 05:50:14 status half-installed debconf:all 1.5.77
2025-02-13 05:50:14 status unpacked debconf:all 1.5.77
2025-02-13 05:50:14 install libkrb5-3:amd64 <none> 1.18.3-6+deb11u3
2025-02-13 05:50:14 status half-installed libkrb5-3:amd64 1.18.3-6+deb11u3
